Description,Target
I am planning to submit this by next week,Not Distracted
can we all go for a trip goa chennai may be,Distracted
Project submission deadline is nearing,Not Distracted
I completed and submitted a module in the project,Not Distracted
can we make any further updates to the project,Not Distracted
I though of a beautiful idea to our project,Not Distracted
"Let's chill from now, movies are coming this diwali",Distracted
"I was hanging out with all my friend last night, it was fantastic experience",Distracted
Our boss has asked us to do some quality team work,Not Distracted
I spoke with all our team members last working day,Not Distracted
we can finish the final draft accordingly withing the deadline I guess,Not Distracted
We are all working very hard to mangae the deadline,Not Distracted
let's complete this all within today,Not Distracted
the work is getting delated are we all staying on track,Not Distracted
"you know what that rohith did yesterday, he's just irritating",Distracted
I am not happy with how team mates are behaving ,Distracted
can we all split up the work,Not Distracted
let's go out for some movies guys,Distracted
there are lots of sheets and writing work has to be done,Not Distracted
let's chill and trip from now on,Distracted
chill and let's meet at goa,Distracted
Hi guys long time no see how are you all,Distracted
